,,東京支店,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,,福岡支店,,,,,,,,,,,
,目標比(%),1.074686149,1.148751871,,,,,0.7388614761,1.415862855,0.8759275029,,,,,,,1838.742816,-1010.351827,,,1145.161744,,,,,,,957.6195465,1315.064049,,,,566.3735712,,,,351.5358362,4269.878788,
営業外収入（リベート）,本年実績(千円),210,167,,,,,167,0,43,,,,,,,452,370,,,82,,,,,,,118,70,,,,48,,,,0,0,
営業外収入（その他）,本年実績(千円),39,0,,,,,0,0,39,,,,,,,0,0,,,0,,,,,,,422,93,,,,190,,,,63,75,
営業外費用（社内利息A・B）,本年実績(千円),5985,4076,,,,,4076,0,1909,,,,,,,0,0,,,0,,,,,,,0,0,,,,0,,,,0,0,
営業外費用（雑損失）,本年実績(千円),0,0,,,,,0,0,0,,,,,,,0,0,,,0,,,,,,,0,0,,,,0,,,,0,0,
本店管理費,本年実績(千円),6006,4054,,,,,3264,790,1952,,,,,,,3661,1648,,,2013,,,,,,,4333,2126,,,,2207,,,,0,0,
経常利益,前年実績(千円),9799,4323,,,,,652,3672,5475,,,,,,,6738,1918,,,4820,,,,,,,15771,4470,,,,11551,,,,-303,53,
,本年目標(千円),22945,17338,,,,,2957,14381,5607,,,,,,,2,-4,,,6,,,,,,,12,6,,,,6,,,,0,0,
,本年実績(千円),26098,21505,,,,,305,21200,4594,,,,,,,9460,962,,,8498,,,,,,,16774,12472,,,,4126,,,,-40,216,
,前年比(%),2.66351394,4.97423567,,,,,0.4683608414,5.773831617,0.8389609436,,,,,,,1.403851616,0.5014335176,,,1.763009174,,,,,,,1.063594108,2.78985569,,,,0.3571882595,,,,0.1305247525,4.095566895,
,目標比(%),1.13743491,1.240335333,,,,,0.1032018938,1.474151033,0.8192455859,,,,,,,6186.87966,-215.437626,,,1417.719386,,,,,,,1357.750283,2008.619262,,,,656.4475736,,,,144.8681319,1623.353383,
,累積本年目標(千円),41597,29413,,,,,6470,22943,12184,,,,,,,-1,-7,,,6,,,,,,,22,10,,,,12,,,,-1,0,
,累積本年実績(千円),43172,34823,,,,,2417,32406,8349,,,,,,,18474,5118,,,13356,,,,,,,28948,17984,,,,10431,,,,-324,856,
