,,東京支店,,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,,福岡支店,,,,,,,,,,,
,目標比(%),0.9957262284,1.044771801,0.3385173592,1.212454873,1.106298982,1.205666944,1.007273616,1.13933244,0.9182182874,0.8547729167,0.6174959436,1.213028341,1.909858475,0.7302300387,1.164264189,0,1055.059573,1334.318454,1167.065833,1541.763566,983.8485588,1072.863889,1584.213571,804.0446875,1181.103125,902.9399474,0,866.0400148,821.4932604,801.1331462,1110,867.8029091,878.8065623,955.3828696,821.3384598,932.7736667,577,990.8245009,0
売上総利益率,前年実績(%),0.1150181102,0.08914439823,0.07333210815,0.09684332363,0.07978221222,0.3658367107,0.09265082573,0.0791026192,0.1896849428,0.1931588121,0.2249373054,0.1972693672,0.2376997724,0.1681748668,0.2158441561,0,0.2241732777,0.09151986987,0.02732066537,0.1381821762,0.2684082766,0.3216468472,0.08003353889,0.4225186071,0.1961040906,0.2815701167,0,0.182862887,0.1204476784,0.1026499819,0.04976849693,0.4142230455,0.2084480023,0.2009460048,0.2090009109,0.226269592,0.2743136838,0.9644394098,0
,本年目標(%),0.1856182374,0.1716735635,0.1369886644,0.1238839286,0.4369207957,0.331797235,0.2333557641,0.1030105187,0.2129544291,0.24,0.2069343066,0.1651595745,0.2336633663,0.1890002087,0.2340550459,0,0.3026606045,0.211551131,0.2463686291,0.18,0.34,0.48,0.28,0.4571428571,0.2,0.3333333333,0,0.2220127175,0.1745907231,0.1652192243,0.05,0.3055555556,0.2268894712,0.214953271,0.2407149397,0.2,0.2222222222,0.9661824244,0
,本年実績(%),0.1747545526,0.1622370554,0.08001631096,0.1062889945,0.3434705803,0.3110022799,0.2022638818,0.1125712517,0.2029047588,0.2807408766,0.2203510561,0.1576701202,0.3564183705,0.1523678096,0.2273826975,0,0.3019904492,0.2331629994,0.2378659781,0.2289136713,0.3363251095,0.8376472027,0.2249846825,0.4893065234,0.1845368119,0.3139767182,0,0.2033746496,0.1306645998,0.1131416695,0.07660455487,0.3198250815,0.2526316022,0.2410776457,0.2847906214,0.1787795054,0.1525647805,0.9396688324,0
,前年比(%),1.519365536,1.819935505,1.091149743,1.097535591,4.305102237,0.8501122792,2.183076948,1.423103973,1.069693545,1.453419979,0.9796109883,0.7992630705,1.499447672,0.9060082072,1.053457743,0,1.347129561,2.547676256,8.706448944,1.656607803,1.253035539,2.604245028,2.811130004,1.158070947,0.9410145976,1.115092475,0,1.112170178,1.084824561,1.102208372,1.53921777,0.7721083724,1.211964612,1.199713555,1.362628613,0.7901172394,0.5561690487,0.9743160874,0
,目標比(%),0.9414729667,0.9450322581,0.5841089942,0.8579724237,0.786116348,0.9373263159,0.8667618844,1.092813172,0.9528083529,1.169753652,1.064835791,0.9546532237,1.525349806,0.8061779963,0.9714923969,0,0.9977857861,1.102159078,0.9654880942,1.271742619,0.9891914986,1.745098339,0.8035167232,1.07035802,0.9226840594,0.9419301546,0,0.9160495483,0.7484051703,0.6847972441,1.532091097,1.046700267,1.113456701,1.121535134,1.183103225,0.8938975269,0.6865415124,0.9725583996,0
営業経費,前年実績(千円),43151,25690,,,,,21167,4522,17461,,,,,,,,37781,8604,,,29176,,,,,,,44159,15358,,,,18811,,,,2148,7842,
,本年目標(千円),44203,25619,,,,,22267,3352,18584,,,,,,,,40,9,,,31,,,,,,,48,17,,,,22,,,,1,8,
,本年実績(千円),44981,25946,,,,,23058,2888,19035,,,,,,,,32463,5779,,,26684,,,,,,,42328,13546,,,,20442,,,,866,7474,
,前年比(%),1.042430181,1.009995291,,,,,1.089345329,0.6385901562,1.090150236,,,,,,,,0.8592573323,0.6716333867,,,0.9145890463,,,,,,,0.9585361987,0.8820158875,,,,1.086704588,,,,0.4031657356,0.9530731956,
,目標比(%),1.017611225,1.012778446,,,,,1.03554345,0.8615528043,1.024273461,,,,,,,,806.7023508,616.6845587,,,864.382916,,,,,,,875.3774248,811.2834641,,,,912.4263524,,,,631.6557257,948.2364882,
営業利益,前年実績(千円),20529,10964,,,,,7069,3895,9565,,,,,,,,-4305,-5187,,,881,,,,,,,16497,4957,,,,12527,,,,-859,-128,
,本年目標(千円),30918,20389,,,,,10677,9712,10529,,,,,,,,2,-1,,,3,,,,,,,19,9,,,,10,,,,0,0,
,本年実績(千円),29818,22121,,,,,10125,11996,7697,,,,,,,,12556,5790,,,6766,,,,,,,16000,7480,,,,8243,,,,-289,566,
,前年比(%),1.452486748,2.017651989,,,,,1.432422319,3.079603985,0.8046797351,,,,,,,,-2.91634105,-1.116233897,,,7.677875984,,,,,,,0.9698493611,1.508917397,,,,0.6580088553,,,,0.3364377183,-4.402640572,
,目標比(%),0.9644375768,1.084971799,,,,,0.9483165683,1.235205313,0.7310277329,,,,,,,,5171.365733,-8259.044223,,,2162.50751,,,,,,,842.2717941,840.6518319,,,,805.2285826,,,,778.9757412,2437.715517,
営業外収入（リベート）,本年実績(千円),370,317,,,,,317,0,53,,,,,,,,119,14,,,104,,,,,,,214,159,,,,55,,,,0,0,
営業外収入（その他）,本年実績(千円),39,0,,,,,0,0,39,,,,,,,,0,0,,,0,,,,,,,293,0,,,,214,,,,4,75,
営業外費用（社内利息A・B）,本年実績(千円),7148,5066,,,,,5066,0,2081,,,,,,,,0,0,,,0,,,,,,,0,0,,,,0,,,,0,0,
営業外費用（雑損失）,本年実績(千円),0,0,,,,,0,0,0,,,,,,,,0,0,,,0,,,,,,,0,0,,,,0,,,,0,0,
本店管理費,本年実績(千円),6006,4054,,,,,3264,790,1952,,,,,,,,3661,1648,,,2013,,,,,,,4333,2126,,,,2207,,,,0,0,
経常利益,前年実績(千円),9498,3376,,,,,388,2988,6122,,,,,,,,-7688,-6363,,,-1326,,,,,,,16973,5031,,,,12751,,,,-859,50,
,本年目標(千円),18652,12075,,,,,3513,8562,6577,,,,,,,,-3,-3,,,0,,,,,,,10,4,,,,6,,,,0,0,
,本年実績(千円),17074,13318,,,,,2112,11206,3756,,,,,,,,9014,4156,,,4858,,,,,,,12174,5513,,,,6306,,,,-285,641,
,前年比(%),1.797577119,3.944438899,,,,,5.442576179,3.749927721,0.6135135179,,,,,,,,-1.172418215,-0.6531964224,,,-3.664507671,,,,,,,0.7172539375,1.095722529,,,,0.4945317653,,,,0.3315029104,12.69345857,
,目標比(%),0.9153918615,1.102943188,,,,,0.6011172787,1.308843027,0.5710582332,,,,,,,,-3073.238323,-1409.297728,,,303611.8125,,,,,,,1233.063405,1334.46962,,,,1094.523867,,,,811.2849003,1929.36747,
,累積本年目標(千円),18652,12075,,,,,3513,8562,6577,,,,,,,,-3,-3,,,0,,,,,,,10,4,,,,6,,,,0,0,
,累積本年実績(千円),17074,13318,,,,,2112,11206,3756,,,,,,,,9014,4156,,,4858,,,,,,,12174,5513,,,,6306,,,,-285,641,
